"","x"
"1","time"
"2","kids"
"3","room"
"4","way"
"5","house"
"6","something"
"7","day"
"8","school"
"9","door"
"10","things"
"11","friends"
"12","phone"
"13","people"
"14","eyes"
"15","home"
"16","thing"
"17","mom"
"18","lot"
"19","parents"
"20","head"
"21","everyone"
"22","mother"
"23","idea"
"24","anything"
"25","family"
"26","hand"
"27","night"
"28","hair"
"29","club"
"30","job"
"31","meeting"
"32","face"
"33","voice"
"34","kitchen"
"35","table"
"36","one"
"37","book"
"38","afternoon"
"39","girls"
"40","kind"
"41","someone"
"42","father"
"43","dad"
"44","everything"
"45","look"
"46","front"
"47","course"
"48","class"
"49","bed"
"50","car"
"51","rest"
"52","minutes"
"53","morning"
"54","moment"
"55","friend"
"56","name"
"57","work"
"58","place"
"59","stuff"
"60","floor"
"61","food"
"62","life"
"63","hands"
"64","part"
"65","sister"
"66","paper"
"67","today"
"68","members"
"69","right"
"70","side"
"71","girl"
"72","baby"
"73","mind"
"74","person"
"75","books"
"76","brother"
"77","week"
"78","party"
"79","team"
"80","dinner"
"81","end"
"82","fact"
"83","fun"
"84","money"
"85","times"
"86","smile"
"87","help"
"88","game"
"89","nothing"
"90","everybody"
"91","boys"
"92","days"
"93","clothes"
"94","anyone"
"95","back"
"96","problem"
"97","man"
"98","call"
"99","okay"
"100","boy"
"101","words"
"102","brothers"
"103","living"
"104","guy"
"105","sort"
"106","children"
"107","chair"
"108","window"
"109","hall"
"110","box"
"111","bag"
"112","years"
"113","care"
"114","mouth"
"115","word"
"116","arms"
"117","group"
"118","didn"
"119","grade"
"120","story"
"121","show"
"122","minute"
"123","kid"
"124","jobs"
"125","water"
"126","couple"
"127","arm"
"128","clock"
"129","feet"
"130","lunch"
"131","line"
"132","year"
"133","hour"
"134","dance"
"135","business"
"136","stairs"
"137","woman"
"138","ball"
"139","guys"
"140","number"
"141","case"
"142","desk"
"143","notebook"
"144","shoulder"
"145","movie"
"146","picture"
"147","tomorrow"
"148","member"
"149","breath"
"150","news"
"151","street"
"152","rang"
"153","homework"
"154","list"
"155","world"
"156","meetings"
"157","store"
"158","matter"
"159","talk"
"160","feeling"
"161","corner"
"162","attention"
"163","play"
"164","eye"
"165","thanks"
"166","sorry"
"167","trouble"
"168","while"
"169","top"
"170","heart"
"171","order"
"172","ones"
"173","art"
"174","town"
"175","don"
"176","sisters"
"177","math"
