"","x"
"1","the"
"2","and"
"3","was"
"4","she"
"5","you"
"6","said"
"7","that"
"8","her"
"9","for"
"10","but"
"11","with"
"12","had"
"13","were"
"14","have"
"15","about"
"16","out"
"17","what"
"18","all"
"19","just"
"20","not"
"21","they"
"22","like"
"23","one"
"24","when"
"25","this"
"26","then"
"27","kristy"
"28","mary"
"29","know"
"30","are"
"31","his"
"32","from"
"33","anne"
"34","could"
"35","our"
"36","asked"
"37","dont"
"38","them"
"39","didnt"
"40","its"
"41","would"
"42","back"
"43","time"
"44","going"
"45","into"
"46","him"
"47","well"
"48","there"
"49","can"
"50","claudia"
"51","think"
"52","been"
"53","how"
"54","too"
"55","stacey"
"56","who"
"57","over"
"58","looked"
"59","your"
"60","right"
"61","mom"
"62","see"
"63","kids"
"64","down"
"65","did"
"66","now"
"67","some"
"68","dawn"
"69","room"
"70","even"
"71","around"
"72","get"
"73","little"
"74","mrs"
"75","want"
"76","really"
"77","other"
"78","after"
"79","good"
"80","thats"
"81","way"
"82","more"
"83","dad"
"84","their"
"85","look"
"86","thought"
"87","something"
"88","told"
"89","jessi"
"90","house"
"91","two"
"92","here"
"93","come"
"94","has"
"95","say"
"96","first"
"97","shes"
"98","day"
"99","off"
"100","sure"
"101","okay"
"102","school"
"103","because"
"104","only"
"105","make"
"106","wasnt"
"107","tell"
"108","ill"
"109","before"
"110","again"
"111","made"
"112","maybe"
"113","very"
"114","friends"
"115","much"
"116","why"
"117","door"
"118","things"
"119","got"
"120","called"
"121","new"
"122","youre"
"123","which"
"124","went"
"125","still"
"126","will"
"127","club"
"128","home"
"129","take"
"130","put"
"131","big"
"132","next"
"133","couldnt"
"134","mean"
"135","knew"
"136","away"
"137","where"
"138","great"
"139","replied"
"140","phone"
"141","never"
"142","people"
"143","took"
"144","long"
"145","eyes"
"146","any"
"147","should"
"148","turned"
"149","each"
"150","thing"
"151","cant"
"152","wanted"
"153","call"
"154","mal"
"155","while"
"156","than"
"157","through"
"158","help"
"159","guess"
"160","let"
"161","head"
"162","lot"
"163","felt"
"164","mallory"
"165","left"
"166","came"
"167","parents"
"168","logan"
"169","another"
"170","bsc"
"171","started"
"172","began"
"173","front"
"174","hes"
"175","abby"
"176","last"
"177","though"
