"","x"
"1","the"
"2","and"
"3","she"
"4","was"
"5","her"
"6","you"
"7","said"
"8","that"
"9","for"
"10","with"
"11","had"
"12","but"
"13","his"
"14","out"
"15","were"
"16","have"
"17","they"
"18","what"
"19","about"
"20","all"
"21","this"
"22","nancy"
"23","just"
"24","from"
"25","not"
"26","him"
"27","one"
"28","like"
"29","then"
"30","when"
"31","back"
"32","into"
"33","could"
"34","know"
"35","asked"
"36","them"
"37","there"
"38","would"
"39","its"
"40","dont"
"41","been"
"42","are"
"43","over"
"44","down"
"45","get"
"46","going"
"47","didnt"
"48","think"
"49","time"
"50","looked"
"51","your"
"52","see"
"53","right"
"54","who"
"55","their"
"56","can"
"57","around"
"58","how"
"59","now"
"60","jessica"
"61","well"
"62","did"
"63","too"
"64","elizabeth"
"65","some"
"66","here"
"67","joe"
"68","frank"
"69","way"
"70","off"
"71","thought"
"72","more"
"73","after"
"74","look"
"75","even"
"76","room"
"77","our"
"78","really"
"79","other"
"80","want"
"81","something"
"82","got"
"83","eyes"
"84","thats"
"85","told"
"86","good"
"87","little"
"88","door"
"89","two"
"90","before"
"91","sure"
"92","only"
"93","come"
"94","why"
"95","benny"
"96","where"
"97","bess"
"98","head"
"99","through"
"100","away"
"101","still"
"102","youre"
"103","mrs"
"104","maybe"
"105","will"
"106","turned"
"107","tell"
"108","first"
"109","make"
"110","again"
"111","ill"
"112","jessie"
"113","made"
"114","any"
"115","mystery"
"116","went"
"117","henry"
"118","wasnt"
"119","took"
"120","face"
"121","much"
"122","george"
"123","very"
"124","take"
"125","say"
"126","never"
"127","knew"
"128","put"
"129","house"
"130","saw"
"131","hand"
"132","came"
"133","people"
"134","couldnt"
"135","than"
"136","has"
"137","long"
"138","next"
"139","new"
"140","girls"
"141","find"
"142","kristy"
"143","day"
"144","cant"
"145","shed"
"146","mary"
"147","voice"
"148","help"
"149","called"
"150","because"
"151","felt"
"152","man"
"153","few"
"154","last"
"155","violet"
"156","should"
"157","left"
"158","anything"
"159","front"
"160","let"
"161","big"
"162","wanted"
"163","looking"
"164","night"
"165","another"
"166","hes"
"167","thing"
"168","heard"
"169","behind"
"170","found"
"171","anne"
"172","while"
"173","car"
"174","things"
"175","might"
"176","shes"
"177","school"
