PC1,PC2,Filename,Title,Type,Series
0.013476891,0.003105064,boxcarchildren_Animal Shelter Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Animal Shelter Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.011533205,0.027135763,boxcarchildren_Benny's Boxcar Sleepover - Gertrude Chandler Warner.txt,boxcarchildren_Benny's Boxcar Sleepover - Gertrude Chandler Warner,text,boxcarchildren
0.008229436,0.0195875,boxcarchildren_Benny's New Friend - Gertrude Chandler Warner.txt,boxcarchildren_Benny's New Friend - Gertrude Chandler Warner,text,boxcarchildren
0.009187551,0.013097208,boxcarchildren_Benny's Saturday Surprise - Gertrude Chandler Warner.txt,boxcarchildren_Benny's Saturday Surprise - Gertrude Chandler Warner,text,boxcarchildren
0.023894699,0.010822331,boxcarchildren_Bicycle Mystery - Gertrude Warner.txt,boxcarchildren_Bicycle Mystery - Gertrude Warner,text,boxcarchildren
0.028613397,0.000786465,boxcarchildren_Boardwalk Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Boardwalk Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.038134529,0.003894219,"boxcarchildren_Boxcar Children 12 - Houseboat Mystery - Warner, Gertrude Chandler.txt","boxcarchildren_Boxcar Children 12 - Houseboat Mystery - Warner, Gertrude Chandler",text,boxcarchildren
0.010885753,0.009368202,"boxcarchildren_Boxcar Children 19 - Benny Uncovers a Myst - Warner, Gertrude Chandler.txt","boxcarchildren_Boxcar Children 19 - Benny Uncovers a Myst - Warner, Gertrude Chandler",text,boxcarchildren
0.017562692,0.002394611,"boxcarchildren_Boxcar Children 42 - Mystery of the Missin - Warner, Gertrude Chandler.txt","boxcarchildren_Boxcar Children 42 - Mystery of the Missin - Warner, Gertrude Chandler",text,boxcarchildren
0.027067829,0.002381586,"boxcarchildren_Boxcar Children 54 - Hurricane Mystery - Warner, Gertrude Chandler.txt","boxcarchildren_Boxcar Children 54 - Hurricane Mystery - Warner, Gertrude Chandler",text,boxcarchildren
0.031636128,0.00114618,"boxcarchildren_Boxcar Children 61 - Growling Bear Mystery - Warner, Gertrude Chandler.txt","boxcarchildren_Boxcar Children 61 - Growling Bear Mystery - Warner, Gertrude Chandler",text,boxcarchildren
0.026869886,0.002310801,"boxcarchildren_Boxcar Children 62 - Mystery of the Lake M - Warner, Gertrude Chandler.txt","boxcarchildren_Boxcar Children 62 - Mystery of the Lake M - Warner, Gertrude Chandler",text,boxcarchildren
0.024591947,-0.001299452,"boxcarchildren_Boxcar Children 68 - Basketball Mystery - Warner, Gertrude Chandler.txt","boxcarchildren_Boxcar Children 68 - Basketball Mystery - Warner, Gertrude Chandler",text,boxcarchildren
0.024718166,0.003218407,boxcarchildren_Boxcar Children Halloween Special - Gertrude Chandler Warner.txt,boxcarchildren_Boxcar Children Halloween Special - Gertrude Chandler Warner,text,boxcarchildren
0.017111904,0.001956408,boxcarchildren_Boxcar Children Spooky Special - Gertrude Chandler Warner.txt,boxcarchildren_Boxcar Children Spooky Special - Gertrude Chandler Warner,text,boxcarchildren
0.022257577,0.00254698,boxcarchildren_Finders Keepers Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Finders Keepers Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.027543118,-0.000149604,boxcarchildren_Game Store Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Game Store Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.012785175,-0.001714936,boxcarchildren_Ghost of the Chattering Bones - Gertrude Chandler Warner.txt,boxcarchildren_Ghost of the Chattering Bones - Gertrude Chandler Warner,text,boxcarchildren
0.028848292,0.001105682,boxcarchildren_Great Bicycle Race Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Great Bicycle Race Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.025884366,-0.000200166,boxcarchildren_Great Shark Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Great Shark Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.018214352,-0.003778385,boxcarchildren_Gymnastics Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Gymnastics Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.016668207,0.004980873,boxcarchildren_Haunted Cabin Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Haunted Cabin Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.03146614,-0.009300914,boxcarchildren_Hidden in the Haunted School - Gertrude Chandler Warner.txt,boxcarchildren_Hidden in the Haunted School - Gertrude Chandler Warner,text,boxcarchildren
0.018569085,-0.00244057,boxcarchildren_Hockey Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Hockey Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.014818213,0.008341254,boxcarchildren_Honeybee Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Honeybee Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.022232354,0.004597243,boxcarchildren_Ice Cream Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Ice Cream Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.03215713,-0.00314656,boxcarchildren_Journey on a Runaway Train - Gertrude Chandler Warner.txt,boxcarchildren_Journey on a Runaway Train - Gertrude Chandler Warner,text,boxcarchildren
0.025718053,0.002337328,boxcarchildren_Mystery in the Old Attic - Gertrude Chandler Warner.txt,boxcarchildren_Mystery in the Old Attic - Gertrude Chandler Warner,text,boxcarchildren
0.02205901,0.005496377,boxcarchildren_Mystery in the Sand - Gertrude Warner.txt,boxcarchildren_Mystery in the Sand - Gertrude Warner,text,boxcarchildren
0.023089966,0.00510093,boxcarchildren_Mystery of the Fallen Treasure - Gertrude Chandler Warner.txt,boxcarchildren_Mystery of the Fallen Treasure - Gertrude Chandler Warner,text,boxcarchildren
0.024908356,0.003560165,boxcarchildren_Mystery of the Haunted Boxcar - Gertrude Chandler Warner.txt,boxcarchildren_Mystery of the Haunted Boxcar - Gertrude Chandler Warner,text,boxcarchildren
0.018293259,0.003784983,boxcarchildren_Mystery of the Hidden Painting - Gertrude Chandler Warner.txt,boxcarchildren_Mystery of the Hidden Painting - Gertrude Chandler Warner,text,boxcarchildren
0.021690467,0.007249883,boxcarchildren_Mystery of the Queen's Jewels - Gertrude Chandler Warner.txt,boxcarchildren_Mystery of the Queen's Jewels - Gertrude Chandler Warner,text,boxcarchildren
0.011510176,-0.000528934,boxcarchildren_Mystery of the Runaway Ghost - Gertrude Chandler Warner.txt,boxcarchildren_Mystery of the Runaway Ghost - Gertrude Chandler Warner,text,boxcarchildren
0.022640952,-0.002895025,boxcarchildren_Mystery of the Stolen Snowboard - Gertrude Chandler Warner.txt,boxcarchildren_Mystery of the Stolen Snowboard - Gertrude Chandler Warner,text,boxcarchildren
0.028684837,-0.001066802,boxcarchildren_Mystery of the Wild Ponies - Gertrude Chandler Warner.txt,boxcarchildren_Mystery of the Wild Ponies - Gertrude Chandler Warner,text,boxcarchildren
0.02540936,0.006668264,boxcarchildren_Mystery of the Wild West Bandit - Gertrude Chandler Warner.txt,boxcarchildren_Mystery of the Wild West Bandit - Gertrude Chandler Warner,text,boxcarchildren
0.018551061,-0.008264548,boxcarchildren_Mystery on Stage - Gertrude Chandler Warner.txt,boxcarchildren_Mystery on Stage - Gertrude Chandler Warner,text,boxcarchildren
0.020146621,0.002481209,boxcarchildren_Mystery on the Ice - Gertrude Chandler Warner.txt,boxcarchildren_Mystery on the Ice - Gertrude Chandler Warner,text,boxcarchildren
0.025119854,-0.005299349,boxcarchildren_Return of the Graveyard Ghost - Gertrude Chandler Warner.txt,boxcarchildren_Return of the Graveyard Ghost - Gertrude Chandler Warner,text,boxcarchildren
0.021343214,0.021042006,boxcarchildren_Sam Makes Trouble - Gertrude Chandler Warner.txt,boxcarchildren_Sam Makes Trouble - Gertrude Chandler Warner,text,boxcarchildren
0.033001477,-0.001586218,boxcarchildren_Secret on the Thirteenth Floor - Gertrude Chandler Warner.txt,boxcarchildren_Secret on the Thirteenth Floor - Gertrude Chandler Warner,text,boxcarchildren
0.034035521,0.007990586,boxcarchildren_Snowbound Mystery - Gertrude Warner.txt,boxcarchildren_Snowbound Mystery - Gertrude Warner,text,boxcarchildren
0.025748277,-0.001185454,boxcarchildren_Summer Camp Mystery - Gertrude Chandler Warner.txt,boxcarchildren_Summer Camp Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.022073412,0.016668754,boxcarchildren_Surprise Island - Gertrude Warner.txt,boxcarchildren_Surprise Island - Gertrude Warner,text,boxcarchildren
0.024821638,0.004165044,boxcarchildren_TBC 026_ The Mystery of the Mixed-Up Zoo - Gertrude Chandler Warner.txt,boxcarchildren_TBC 026_ The Mystery of the Mixed-Up Zoo - Gertrude Chandler Warner,text,boxcarchildren
0.024109378,0.004268448,boxcarchildren_TBC 050_ Mystery in the Cave - Gertrude Chandler Warner.txt,boxcarchildren_TBC 050_ Mystery in the Cave - Gertrude Chandler Warner,text,boxcarchildren
0.026691061,0.001513981,boxcarchildren_TBC 052_ The Mystery of the Lost Mine - Gertrude Chandler Warner.txt,boxcarchildren_TBC 052_ The Mystery of the Lost Mine - Gertrude Chandler Warner,text,boxcarchildren
0.0232901,0.003441951,boxcarchildren_TBC 053_ The Guide Dog Mystery - Gertrude Chandler Warner.txt,boxcarchildren_TBC 053_ The Guide Dog Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.03183605,-0.007811554,boxcarchildren_TBC 055_ The Mystery of the Secret Message - Gertrude Chandler Warner.txt,boxcarchildren_TBC 055_ The Mystery of the Secret Message - Gertrude Chandler Warner,text,boxcarchildren
0.032666448,0.000719288,boxcarchildren_TBC 056_ The Firehouse Mystery - Gertrude Chandler Warner.txt,boxcarchildren_TBC 056_ The Firehouse Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.028315594,-0.002721437,boxcarchildren_TBC 059_ The Outer Space Mystery - Gertrude Chandler Warner.txt,boxcarchildren_TBC 059_ The Outer Space Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.025759542,0.001297621,boxcarchildren_TBC 064_ The Black Pearl Mystery - Gertrude Chandler Warner.txt,boxcarchildren_TBC 064_ The Black Pearl Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.030453189,0.003125535,boxcarchildren_TBC 065_ The Cereal Box Mystery - Gertrude Chandler Warner.txt,boxcarchildren_TBC 065_ The Cereal Box Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.024848951,0.003758567,boxcarchildren_TBC 067_ The Mystery of the Stolen Sword - Gertrude Chandler Warner.txt,boxcarchildren_TBC 067_ The Mystery of the Stolen Sword - Gertrude Chandler Warner,text,boxcarchildren
0.027722986,0.001742706,boxcarchildren_TBC 069_ The Movie Star Mystery - Gertrude Chandler Warner.txt,boxcarchildren_TBC 069_ The Movie Star Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.024412586,-0.00246797,boxcarchildren_TBC 071_ The Ghost Town Mystery - Gertrude Chandler Warner.txt,boxcarchildren_TBC 071_ The Ghost Town Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.028970717,0.00097786,boxcarchildren_TBC 072_ The Mystery in the Mall - Gertrude Chandler Warner.txt,boxcarchildren_TBC 072_ The Mystery in the Mall - Gertrude Chandler Warner,text,boxcarchildren
0.020685328,0.001628729,boxcarchildren_TBC 074_ The Poison Frog Mystery - Gertrude Chandler Warner.txt,boxcarchildren_TBC 074_ The Poison Frog Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.022949663,0.002132357,boxcarchildren_TBC 075_ The Mystery of the Empty Safe - Gertrude Chandler Warner.txt,boxcarchildren_TBC 075_ The Mystery of the Empty Safe - Gertrude Chandler Warner,text,boxcarchildren
0.026648903,0.002168243,boxcarchildren_TBC 078_ The Mystery in the Computer Game - Gertrude Chandler Warner.txt,boxcarchildren_TBC 078_ The Mystery in the Computer Game - Gertrude Chandler Warner,text,boxcarchildren
0.017860411,-0.001902686,boxcarchildren_TBC 079_ Mystery at the Crooked House - Gertrude Chandler Warner.txt,boxcarchildren_TBC 079_ Mystery at the Crooked House - Gertrude Chandler Warner,text,boxcarchildren
0.02241008,0.003329319,boxcarchildren_TBC 081_ The Mystery of the Midnight Dog - Gertrude Chandler Warner.txt,boxcarchildren_TBC 081_ The Mystery of the Midnight Dog - Gertrude Chandler Warner,text,boxcarchildren
0.01536049,0.001725679,boxcarchildren_TBC 083_ The Copycat Mystery - Gertrude Chandler Warner.txt,boxcarchildren_TBC 083_ The Copycat Mystery - Gertrude Chandler Warner,text,boxcarchildren
0.032616693,0.002905414,boxcarchildren_TBC 084_ The Haunted Clock Tower Mystery - Gertrude Chandler Warner.txt,boxcarchildren_TBC 084_ The Haunted Clock Tower Mystery - Gertrude Chandler Warner,text,boxcarchildren
